"Title","AuthorFirst","AuthorMiddle","AuthorLast","Quotation","QuoteYear","QuoteSource","Context","Notes","UsedDate","ID"
,"Theodore",,"Roosevelt","It is not the critic who counts, nor the person who points out how the strong person stumbled or where the doer of deeds could have done better. The credit belongs to the person who is actually in the arena; whose face is actually marred by dust and sweat and blood, who strives valiantly, who errs and comes short again and again, who knows great enthusiasm and great devotions, whose life is spent in a worthy cause; who, at best, knows in the end the triumph of high achievement and at worst, if failure wins out, it at least wins with greatness, so that this person's place shall never be with those timid souls who know neither victory nor defeat.",,,,,,1
,"Theodore",,"Roosevelt","The best executive is the one who has sense enough to pick good men to do what he wants done, and self-restraint enough to keep from meddling with them while they do it.",,,,,,2
,"Theodore",,"Roosevelt","The most important single ingredient in the formula of success is knowing how to get along with people.",,,,,,3
,"Theodore",,"Roosevelt","The only man who never makes a mistake is the man who never does anything.",,,,,9/8/2014 0:00:00,4
,"Theodore",,"Roosevelt","To educate a man in mind and not in morals is to educate a menace to society.",,,,,7/2/2018 0:00:00,5
,"Jackie",,"Robinson","A life is not important, except in the impact it has on other lives.",,,,,,6
,"Clive","S.","Lewis","The only way to drive out bad culture is to create good culture.",,,,,,8
,"Thomas",,"Jefferson","I find that the harder I work, the more luck I seem to have.",,,,,,9
,"Thomas",,"Edison","I have not failed. I've just found 10,000 ways that won't work.",,,,,,10
,,,"Voltaire","A witty saying proves nothing.",,,,,,11
,"Bertrand",,"Russell","Most people would sooner die than think; in fact, they do so.",,,,,,12
,"Winston",,"Churchill","Any man who is under 30, and is not a liberal, has not heart; and any man who is over 30, and is not a conservative, has no brains.",,,,,1/13/2020 0:00:00,13
,"Gail",,"Godwin","Good teaching is one-fourth preparation and three-fourths theater.",,,,,,14
,"Edmund",,"Burke","The only thing necessary for the triumph of evil is for good men to do nothing.",,,,,6/28/2021 0:00:00,15
,"George",,"Patton","A pint of sweat, saves a gallon of blood.",,,,,,16
,"Schumpeter",,"Joseph","Economic progress, in capitalist societies, means turmoil.",,"Capitalism, Socialism, and Democracy",,,,17
,"Machiavelli",,"Niccolo","When neither their property nor their honor is touched, the majority of men live content.",,"The Prince",,,,18
,"Adam",,"Smith","It is not from the benevolence of the butcher, the brewer, or the baker that we expect our dinner, but from their regard to their self-love.",,,,,,19
,"Winston",,"Churchill","We make a living by what we get, but we make a life by what we give.",,,,,2/3/2020 0:00:00,20
,"Louis",,"Pasteur","Chance favors the prepared mind.",,"Outside the Charlotte-Mecklenburg downtown library",,,,21
